Variable,Parameter
const,33787644.68644289
A.0_ID flood wave shape,-1843353.9992356794
A.1_Bmax,-985625.0529117481
A.1_Brate,20111481.173029825
A.1_pfail,-4691109758.750544
A.2_Bmax,-8855.289772248274
A.2_Brate,-11599921.858522236
A.2_pfail,-2180620919.359873
A.3_Bmax,193563.74683108315
A.3_Brate,8011619.897155829
A.3_pfail,-2101815644.767318
A.4_Bmax,1097474.1730958717
A.4_Brate,-43772516.20392569
A.4_pfail,357347160.7747648
A.5_Bmax,440426.5405271728
A.5_Brate,-18636482.665767763
A.5_pfail,-1251403364.3773503
discount rate 0,-280700429.1580504
discount rate 1,20289219.779864006
discount rate 2,-4476424.603555427
discount rate 3,5773441.729355907
0_RfR 0,-21560909.35613498
0_RfR 1,3820203.0777929914
0_RfR 2,-7026382.215058107
0_RfR 3,45736088.7297941
1_RfR 0,-47131885.0233798
1_RfR 1,-4645802.461150859
1_RfR 2,-10780133.076646714
1_RfR 3,-40427357.497656465
2_RfR 0,-40997554.40788537
2_RfR 1,15666232.348233443
2_RfR 2,50710760.90097118
2_RfR 3,39003644.057826705
3_RfR 0,35261824.515903324
3_RfR 1,-7026382.215058955
3_RfR 2,35261824.515902996
3_RfR 3,10510212.714842696
4_RfR 0,-22356411.549079284
4_RfR 1,-5215999.371382495
4_RfR 2,44576430.285477646
4_RfR 3,46022016.953343414
A.1_DikeIncrease 0,222046485.10086364
A.1_DikeIncrease 1,-263495551.7929764
A.1_DikeIncrease 2,44598474.125882104
A.1_DikeIncrease 3,222355650.67870685
A.2_DikeIncrease 0,-500638.95081912284
A.2_DikeIncrease 1,-104837509.60552385
A.2_DikeIncrease 2,176293683.00739366
A.2_DikeIncrease 3,326670827.48415506
A.3_DikeIncrease 0,435256666.52459127
A.3_DikeIncrease 1,146136187.3659248
A.3_DikeIncrease 2,98410785.99724078
A.3_DikeIncrease 3,248667484.5508457
A.4_DikeIncrease 0,-196116802.37003866
A.4_DikeIncrease 1,-8133997.120041646
A.4_DikeIncrease 2,-195761268.42159748
A.4_DikeIncrease 3,92325802.22132388
A.5_DikeIncrease 0,14853998.936166937
A.5_DikeIncrease 1,-38414357.07200102
A.5_DikeIncrease 2,73188339.05629572
A.5_DikeIncrease 3,243404279.35100943
EWS_DaysToThreat,39617667.99835235
